"","x"
"1",1.2308933799822
"2",1.07022525659698
"3",1.17651625371916
"4",0.373516901762435
"5",0.816307985836923
"6",0.535728585593362
"7",0.778999470253825
"8",0.822336054717015
"9",0.349218322093449
"10",0.132752331311212
"11",0.0799070116151809
"12",0.329982200078002
"13",0.576238740839523
"14",0.320724963498041
"15",0.405495741181005
"16",0.42881277496751
"17",0.304958351509532
"18",-0.0319045297338995
"19",0.0433413742650604
"20",0.320048754766467
"21",0.448250556609823
"22",0.528321926405909
"23",0.423301321769241
"24",0.0789859488532015
"25",0.248545815323401
"26",-0.288185141996098
"27",-0.362694559229709
"28",-0.0555611854611639
"29",-0.228174382652427
"30",-0.303834120253928
"31",-0.644026433152295
"32",-0.642863643197649
"33",-0.92404901702915
"34",-1.2123324094781
"35",-0.903515172907536
"36",-0.429898733801495
"37",-0.299877272609573
"38",-0.543530721614108
"39",-0.289557988271566
"40",-0.557431911077218
"41",-0.74362650417272
"42",-0.995493132855567
"43",-0.607207426033453
"44",-0.288018037871086
"45",-0.40418152714508
"46",-0.227453297913574
"47",-0.210878294718556
"48",0.0734371032026925
"49",0.0184083525352496
"50",0.124560941150112
"51",0.256870382432496
"52",-0.166566500684378
"53",0.210183774769081
"54",-0.455286973118671
"55",-0.335882518278324
"56",-0.498882091678107
"57",-0.0797991625651046
"58",-0.339157331223939
"59",0.0615823476237798
"60",0.0187965040247192
"61",0.207965197559455
"62",0.350542285516251
"63",0.280199627850397
"64",0.336881466925477
"65",0.0674019082097636
"66",-0.302180508643837
"67",-0.685440126862647
"68",-0.257169335218605
"69",-0.0596751377851618
"70",-0.0129422838601902
"71",-0.0224611523442571
"72",0.648800811366075
"73",1.39966568297741
"74",1.16062147598843
"75",0.797299551556014
"76",0.375000598225202
"77",0.490298649099128
"78",0.538611170886986
"79",0.50567564934051
"80",0.149151288735865
"81",-0.592553327128933
"82",0.11488566883175
"83",-0.298421740275383
"84",0.274255207706534
"85",0.269784948000891
"86",0.641899097347442
"87",0.435066532225108
"88",0.641859676527405
"89",0.638390429548903
"90",0.453547758956788
"91",0.733047874048407
"92",0.519949928311573
"93",0.681971796601792
"94",1.10066537980527
"95",0.978647434216938
"96",1.07332215018908
"97",0.831654770210292
"98",1.13837086246833
"99",0.714413634295914
"100",0.489555892722997
"101",0.483994083279765
"102",0.285939869577572
"103",0.279351933894656
"104",-0.223558639210245
"105",0.232176459377499
"106",0.316096673992711
"107",0.16255489984385
"108",0.440089578969121
"109",0.583699616089375
"110",0.138618535264505
"111",0.491795286716115
"112",0.636703856591432
"113",0.177486186279169
"114",0.18304833191449
"115",-0.183555314946771
"116",0.14150720987752
"117",0.208734367491604
"118",0.132241172224808
"119",0.476940509314733
"120",0.388177468971534
"121",0.444201077002296
"122",0.0406671948961437
"123",-0.210492623292016
"124",-0.334512775297681
"125",-0.542448270529175
"126",-0.643024990086752
