54,16,37,14,10,26,24,22,72,104,43,14,15,43,42,86,24,16,94,99,102,28,85,46,29,83,37,178,43,63,62,14,35,77,37,147,70,15,87,118,131,31,41,16,37,43,117,16,114,22,22,16,22,14,43,70,42,52,16,86,43,273,63,32,26,72,23,29,43,37,22,64,85,23,43,68,37,35,88,18,37,33,14,99,42,31,43,43,37,43,90,90,97,37,16,43,94,29,63,71
118,118,25,229,160,239,92,263,92,43,125,79,148,92,70,27,119,233,159,90,70,37,43,125,59,173,70,118,129,204,278,126,43,112,87,43,22,178,178,182,64,139,178,173,78,112,390,323,77,72,136,43,318,37,41,80,155,35,238,32,253,263,282,43,16,37,115,82,180,66,98,66,186,329,105,178,67,44,161,72,77,157,90,45,142,232,272,98,177,97,178,159,185,156,43,57,105,70,133,96
253,118,178,203,113,116,312,189,178,413,42,336,287,149,129,29,371,142,237,331,178,153,247,205,352,154,299,272,178,308,304,252,37,155,138,91,272,178,97,229,109,204,148,182,37,107,75,197,263,178,137,386,252,419,366,110,178,115,146,147,118,155,155,355,66,142,127,98,188,185,37,142,316,283,70,360,96,188,90,391,95,81,78,239,96,59,95,140,163,385,185,135,282,215,326,196,246,216,178,194
239,222,37,143,157,390,419,360,282,158,140,296,420,179,129,182,256,360,419,116,235,280,258,103,360,114,136,262,170,395,97,280,109,357,171,143,180,194,181,249,275,118,419,129,386,297,417,98,253,174,194,377,158,268,419,77,178,378,171,266,171,292,178,177,265,92,178,676,316,178,142,366,395,161,220,70,222,316,104,176,137,301,300,153,90,364,257,190,372,419,419,419,253,177,147,163,331,73,380,166
119,419,131,383,419,410,823,239,294,419,391,178,409,136,419,301,252,192,258,419,300,404,247,395,151,419,178,419,266,419,419,314,259,166,395,676,395,419,266,178,292,674,129,212,218,269,413,275,420,241,202,318,420,395,304,419,369,178,178,366,210,87,355,253,347,220,420,419,419,395,325,366,395,190,263,296,147,976,419,419,208,188,142,360,441,324,191,172,178,265,274,171,419,182,296,419,273,303,405,395
417,240,438,192,181,357,419,347,435,299,148,420,419,386,535,98,263,419,419,347,378,247,222,419,420,271,750,465,221,364,523,178,204,201,419,122,270,364,179,419,284,265,156,419,340,419,227,869,331,275,336,589,419,241,420,320,186,585,178,420,358,419,289,311,331,360,229,155,243,159,141,386,98,294,395,385,359,419,360,222,441,535,393,419,178,420,223,225,486,420,247,419,231,419,331,239,294,419,266,160
299,417,331,171,253,239,100,173,214,305,335,281,391,419,857,420,419,237,173,155,360,272,347,204,419,359,419,178,419,118,519,259,315,259,395,395,250,419,346,580,420,419,395,413,181,1008,713,256,678,294,346,419,420,419,395,378,408,359,419,188,419,345,245,386,423,408,244,562,256,371,419,419,378,419,351,329,292,419,438,386,419,331,674,178,394,347,230,372,220,366,142,419,419,377,465,255,440,366,391,278
331,419,419,419,419,395,474,262,419,673,710,419,378,263,389,331,419,419,420,732,337,420,657,387,364,252,535,419,419,395,419,606,420,365,354,230,581,431,395,331,419,420,355,419,360,588,471,239,419,347,395,378,378,218,420,247,312,597,419,419,440,371,419,420,99,292,419,420,355,238,419,420,386,390,311,419,178,178,563,416,292,419,278,294,419,391,419,632,835,420,419,119,688,743,419,419,129,362,674,968
508,420,331,441,420,419,360,589,266,419,676,908,395,419,297,674,365,419,419,378,419,419,524,450,419,544,694,420,271,748,552,359,1072,422,419,419,595,239,331,292,386,419,438,323,419,419,419,292,419,267,419,409,419,676,647,419,370,419,886,769,419,281,419,419,419,331,544,259,544,366,419,535,419,419,400,976,318,417,419,419,420,419,378,769,419,419,844,419,345,378,419,419,420,419,419,275,255,884,398,512
1613,1158,446,678,438,869,467,419,378,708,419,420,365,248,289,419,543,419,559,420,795,270,419,395,320,419,419,941,533,699,703,395,282,337,360,419,131,395,419,359,419,263,300,323,419,331,281,1190,420,419,420,419,372,419,419,683,154,679,1027,1021,507,419,419,419,419,788,419,331,533,419,419,446,419,771,419,364,419,419,419,575,535,336,676,420,178,419,381,348,513,694,597,419,595,419,1021,389,419,732,395,378
419,378,419,976,419,445,473,395,623,895,419,419,419,419,391,419,329,419,614,419,1269,419,419,645,419,419,408,441,420,420,1190,494,543,331,419,271,419,377,395,419,587,419,1172,420,419,294,486,419,419,502,419,200,222,419,419,620,420,419,419,709,419,1269,378,628,386,419,419,259,288,155,419,696,676,386,314,419,597,419,419,371,366,486,419,417,1077,419,395,419,457,194,419,419,1077,279,395,366,613,419,419,411
553,419,676,395,535,1495,400,524,631,303,395,1021,462,899,419,419,399,853,419,864,513,1021,419,629,1201,314,1269,420,1021,419,395,420,378,340,419,455,674,323,419,963,1073,419,599,419,419,780,419,419,419,419,914,395,715,438,331,419,419,419,419,444,286,668,1021,431,589,178,752,353,292,1548,397,939,420,697,419,533,420,1049,419,419,282,1123,589,1096,533,391,654,419,2098,419,419,674,625,440,420,420,897,976,419,331
419,419,427,379,419,419,976,420,676,420,697,1315,419,419,472,2574,276,800,513,420,419,828,419,1052,3256,419,3256,378,1574,378,419,838,419,863,419,1486,419,420,420,278,665,419,1054,419,386,419,806,817,378,703,645,828,1252,674,486,360,546,499,1438,419,632,419,419,956,508,817,1164,162,194,1068,664,419,290,774,958,420,665,500,1640,1170,1135,1615,176,966,912,300,836,834,486,956,419,419,836,1798,419,419,764,690,658,580
419,803,674,420,978,535,616,547,464,1314,253,460,439,1164,378,664,465,2953,419,419,366,470,651,817,775,563,410,419,576,1245,1086,423,274,997,419,676,1911,546,1315,803,703,548,419,420,707,419,420,1190,304,779,585,419,1269,419,535,1388,871,1323,419,1271,1273,419,621,420,420,1231,676,546,420,419,419,553,1021,420,704,459,890,419,431,419,676,1097,419,419,535,420,500,420,419,1269,433,419,419,419,2430,420,513,853,419,419
