26,1,18,1,437,437,10,72,1,10,72,643,6,437,49,1,1,8,5,10,72,1,1,10,1,437,1,437,368,1,181,47,643,1,10,436,10,207,10,10,1,10,1,1,1,1,1,1,70,437,7,1,72,2218,1,31,10,1,125,10,12,10,1,1,1,10,1,9,10,10,1,1,1,78,10,1,1,207,10,10,10,1,1,10,10,1,1,1,1,301,1,437,229,437,45,10,2,430,1,3
1,1,1,7,10,73,1,46,149,10,100,10,1,1,239,1,161,1,10,10,138,1,441,47,779,64,72,1,1,112,10,10,10,1,437,1,513,1,1,10,1,207,1,1,10,10,5,1,10,1154,10,10,314,201,779,1,1,72,10,1,1,92,779,1,1,98,7,1,207,1,73,48,38,1,1,72,1,1,7,1,1,1,10,513,31,10,1,10,10,100,10,72,1,10,72,72,1,1,10,1
1,1,1,1,437,817,201,73,437,305,1242,48,72,364,213,158,644,1,1,207,134,52,72,136,1,32,10,55,18,1,10,1,11,10,10,1,10,1,10,21,10,1,10,1,1,1,437,193,1,8,1082,10,225,10,779,19,10,10,1,100,1,779,66,1,342,400,10,94,1,178,10,168,213,10,1,10,10,73,1,73,215,34,56,119,144,54,207,1421,1,32,1,185,113,10,1,1,1,19,10,19
10,10,152,22,1,2797,10,5507,4474,368,1,2797,1,634,207,1,10,1,364,362,1,1,10,437,1,10,72,73,10,207,10,73,35,162,10,364,2797,1,10,31,1,35,10,392,1,49,302,56,1,10,154,73,779,10,1,1,1,1,10,461,49,90,3,364,10,1,501,10,189,1,286,1,1,10,273,10,11,45,10,39,1044,74,1719,10,413,1,15,364,297,22,148,437,301,284,182,164,1583,53,1,437
10,105,189,124,10,1,274,186,357,119,144,279,207,73,304,1,207,131,1,2797,1,73,10,215,9,1,1902,160,26,759,3188,301,207,7074,10,1,124,1,186,379,10,118,10,140,1,207,779,1,10,1077,50,178,349,30,189,286,160,189,10,10,31,291,111,572,49,10,307,316,637,32,437,10,1,76,68,207,73,1,39,10,10,112,6,76,33,1,1,322,437,73,98,19,304,10,22,1,1,72,10,404
10,1,32,10,10,1,364,437,331,72,72,1,203,172,15,242,1,313,128,20,92,1,112,437,10,1,1,1,1,10,1,1421,228,364,1,82,3618,331,13,1,62,282,298,26,364,1,126,1044,422,1,8,186,23,138,73,276,10,19,188,10,1,124,10,298,249,38,18,10,2056,201,269,73,10,38,10,72,10,1,1,5,1,252,165,364,1328,73,321,4620,301,22,273,5822,236,1,5,1,1,72,106,25
563,1,32,10,249,643,437,10,73,1,62,73,1,7211,72,1224,364,189,5240,201,1,404,437,1,779,364,189,10,513,22,31,228,373,364,513,437,1,437,10,10,1328,10,387,174,1,10,437,10,357,364,73,207,1,10,75,112,1,307,307,12724,19,696,843,436,287,364,1,507,73,364,489,1,19,1,115,254,255,4117,207,188,96,437,9361,10,1,88,138,1,224,1,10,437,10,10,1485,1,10,266,1,1
1,28,437,72,23,12153,73,341,437,141,72,431,239,10,323,5465,643,437,154,64,172,11179,437,321,981,437,23,67,1,699,126,183,364,10,491,437,2433,327,73,96,1,121,437,301,76,244,10,57,811,310,56,73,207,313,10,13910,72,688,1242,1,256,1,181,68,82,10,10,38,207,149,364,2797,10,495,653,73,334,643,299,437,437,1,5312,779,9899,1,215,260,46,145,301,180,184,1380,73,844,189,437,1,437
292,2702,73,10,201,84,346,10,437,505,2205,364,23,10,1,10,249,218,10,97,437,109,387,4717,59,286,3125,10,10,1,621,1328,34,331,364,2,364,1168,72,282,289,10,92,310,3093,2797,188,437,437,10,1,1,189,10,4,224,19,108,249,207,73,237,1,332,1,133,643,339,10,300,1,528,56,643,58,437,437,10,461,10,4310,495,48,8918,207,207,375,72,189,1,502,1,11,437,437,453,10,10,364,1124
128,437,634,1343,992,367,9899,476,316,437,437,822,2797,44,1,159,364,371,170,207,437,316,3276,1,86,72,130,4102,1,190,56,201,1,437,10,437,643,437,12552,591,10,2797,455,92,296,437,197,238,163,1,327,437,25,279,1183,940,1485,179,37,73,437,364,1,1008,643,320,643,215,513,203,364,364,10,223,611,437,364,207,201,437,512,6137,375,643,179,1,72,6634,4967,331,4908,323,49,73,1,653,10,634,561,207
10,283,72,2797,145,51,7004,72,500,73,221,1,4908,643,304,643,180,455,437,779,6752,401,659,138,280,35,643,73,8312,437,950,247,964,1,6230,11294,32,18,203,571,13518,437,10,344,779,440,42,364,5312,4908,1,389,2,207,215,7,92,419,396,10,73,90,375,207,44,2,1,397,437,10,388,201,676,437,548,968,3908,1,459,645,207,205,10,140,844,364,189,390,389,140,16,121,10,364,31,6027,118,256,437,364
56,73,550,364,207,1440,459,331,222,513,437,401,1,437,239,437,272,1,175,266,298,47,188,643,412,73,513,19,10,489,999,650,1,370,3135,10,437,643,92,386,345,364,437,625,550,1,10,304,230,164,11312,183,513,422,474,10,188,349,522,673,100,201,10,149,207,19,10,54,525,1,396,554,10,73,22,7574,10,423,207,56,298,1488,214,191,239,1,18196,839,1168,2797,763,234,31,11362,2797,813,1,437,138,412
144,637,1,43,779,1091,145,125,189,489,21697,283,73,705,331,571,759,368,1,595,287,331,364,320,228,14898,173,10,437,160,164,513,10,11,42,823,101,10,1,1,3182,643,173,74,1952,779,201,437,10,4766,421,1,779,590,284,1,513,437,844,109,364,977,437,184,10,73,711,437,343,696,201,1,426,204,12192,189,73,1,225,6482,389,749,437,364,27,364,1485,355,437,1,643,250,73,1,56,457,779,796,10,404
396,437,10,56,844,213,779,112,1,1697,400,157,85,31,548,844,105,655,779,643,550,343,53,1339,779,76,152,437,10,10,858,1011,2797,263,437,259,364,201,10,56,13231,408,239,339,349,643,401,523,522,207,375,721,823,6031,298,1,643,215,585,4477,17662,1,1,350,94,717,558,1,207,592,437,652,193,1424,643,436,2797,347,565,364,676,298,376,399,844,207,513,437,10,389,9899,1,7,10,419,7078,5312,189,72,571
250,364,59,8875,5312,364,298,1,437,1538,56,5312,2,184,73,779,11179,1155,41,22829,359,73,10,30,511,10,10,56,304,1,440,72,31,1,1,19824,403,22,2033,721,437,217,634,1011,10,4947,1,513,153,10,440,633,417,437,804,10,643,1,1,26,72,437,364,281,364,1259,218,53,512,1,702,11717,1208,239,2797,60,522,66,571,1,549,844,204,207,571,53,8056,1314,571,759,531,292,1,364,1,1164,437,73,779,4885
48,844,10,207,325,193,364,1242,244,73,10,11179,7913,1368,204,298,779,437,1734,173,437,23451,513,452,437,578,779,568,779,3,1154,437,214,104,170,1210,1599,9899,471,437,1556,31,224,437,437,63,82,2012,437,6763,73,188,3743,263,437,143,437,305,779,10,437,10,459,188,181,189,73,5312,192,206,1,38,250,533,437,7,1362,437,927,130,329,234,324,19,90,5312,1,2797,437,466,779,10,634,364,1660,437,591,10,1467,301
