1,10,32,437,266,1,1,72,38,10,437,10,1,1,304,1,38,511,27,45,513,22,68,10,1,10,1,10,1,61,72,47,1,1,1,1,513,1,1,1,1,10,29,8,130,1,346,1,10,437,10,1,1,6,1,10,513,10,10,1,13,10,10,10,437,1,248,185,6,10,1,10,10,1,36,10,1,122,1,1,10,426,1,47,10,10,10,1,72,1,437,1,1,10,1,1,1,10,1,805
1,1,437,16,1,10,72,1,22,1,73,1,10,73,10,72,779,92,10,1,10,1,10,1,73,1,68,207,401,10,5,10,194,1,44,10,58,10,1,688,87,10,437,100,10,2,513,73,10,13,1,105,85,10,1,1748,10,10,146,19,1,779,779,1,10,1,1,2,262,437,437,10,294,10,2,779,1,779,68,1,437,207,779,437,1,1,1,437,332,364,10,1,137,779,346,513,10,1,10,1
1,10,11,10,1,1,1,13,92,688,2797,332,54,98,10,1,437,10,10,1,1,10,75,184,59,376,18,1,152,10,73,75,437,224,1,1,1,19,1,1,72,138,304,114,1,234,1,10,1242,69,1,10,80,64,1,218,214,10,207,56,21,1,43,779,10,1,97,10,41,10,1328,207,10,1,10,1,19,10,1,103,55,72,1155,188,214,10,1,19,437,10,194,1,1421,1005,1,2797,1,1,1,73
207,476,155,437,265,2797,10,1,352,1600,1,181,364,1,2797,1,437,140,10,10,91,73,1,188,390,364,364,10,298,73,10,238,10,1,214,10,1,1,1,203,13,31,38,19,1,10,127,10,124,2797,189,1,5402,1,1,8,1,10,1120,94,189,10,364,138,1,10,1,10,221,437,437,263,10,10,7,10,240,10,10,1,136,10,103,23,10,73,52,189,207,72,10,146,13,167,72,58,121,142,38,10
270,643,189,437,10,779,120,435,1328,10,10,201,216,22,10,307,1,10,72,10,10,282,653,60,140,215,1,1,373,72,10,28,1,1,390,92,33,38,364,437,10,4,10,705,118,10,184,322,1727,214,47,1,1,10,10,10,87,304,56,101,10,266,326,317,231,1,1,1,276,1,513,437,364,10,4908,1,1,283,779,64,145,113,364,206,1,10,24,189,437,132,331,181,201,1,10,215,93,46,73,10
252,10,52,188,513,369,81,364,31,1,309,10,72,157,22,9768,1748,188,201,6,249,304,209,2797,100,10,68,207,294,201,301,13,74,401,1155,390,214,364,1,182,1,437,1,32,2797,4717,1,779,1451,2797,73,73,32,158,1,31,45,1,10,5,58,1,513,112,513,115,3824,1,6763,13,10,362,151,1,106,32,189,437,1,7,52,437,2559,10,91,364,283,207,331,1,10,10,3824,283,62,1,1,1,20,167
165,29,214,70,1,55,1153,73,374,180,201,160,17,72,10,2797,10,10,437,266,62,286,17,201,364,72,5142,268,1,4115,330,157,207,10,136,415,779,5,206,293,72,10,10,473,2830,465,20,93,1,779,2797,1,350,188,2797,10,45,1,1,364,1,102,1578,10,426,10,1,779,10,17,436,666,126,188,1,9899,182,10,251,10,364,1,72,314,1,282,1421,10,32,250,109,99,6,1,1029,211,1,10,518,437
266,1,1,643,32,138,73,207,408,540,1,599,709,1,88,38,1,206,67,10,161,298,3,190,115,1,10,19,1,371,149,3451,1312,72,10,201,551,10,43,1,189,10,247,189,303,437,10,92,437,593,402,10,10,37,160,143,10,1,183,10,1,6,10,10,398,293,206,437,1,276,138,643,2797,1,158,1371,72,10,207,10,7,404,72,313,10,282,437,1,113,1,72,10,209,13,78,4,342,239,1,136
437,73,373,364,1,440,989,3182,256,387,59,124,19,59,90,2,56,437,10,10,643,331,2797,10,243,315,153,437,10,437,1,207,10,119,10,779,657,357,1,323,164,437,653,379,359,73,2505,189,96,207,1,10,437,206,144,10,62,364,118,79,207,73,88,268,100,395,364,118,248,165,94,1,458,201,10,10,393,437,364,10,756,136,2797,307,688,309,116,351,73,863,73,840,437,2251,1,437,189,653,222,643
227,437,238,1,153,2797,643,31,761,201,31,3026,1,266,207,437,1,158,437,11179,152,37,56,38,227,2798,1,2,31,439,12487,10,10,364,19,1029,510,345,547,2205,192,70,10,27,10,423,364,207,1,10,2797,844,116,10,73,152,9899,373,1,643,526,5312,346,373,412,2663,72,1,2797,1180,138,173,93,779,1,364,31,634,364,854,88,3659,298,364,10,779,149,118,6273,10,437,1,1,364,6763,50,398,1,51,4746
779,1,33,844,571,10,75,437,1,103,2797,20931,643,70,363,89,10,68,96,536,364,1328,364,299,47,526,1,188,207,1818,315,207,31,1,437,277,111,10,304,31,749,77,386,48,6273,1637,138,1,10,1,82,22,437,124,275,1,201,437,215,549,421,515,361,207,207,160,630,643,124,1,511,1727,143,436,189,437,437,437,215,5,45,437,605,186,45,85,6154,207,464,253,1870,549,540,555,11179,924,10,73,107,49
1,1233,413,177,127,374,207,10,201,269,1,8982,1748,206,145,263,221,133,643,346,442,72,1,10,437,4203,207,10,9899,321,437,189,10131,437,550,553,10,283,437,400,1247,10,1,207,437,189,402,437,437,232,379,231,364,592,779,437,72,10,266,10,437,779,10,322,114,74,207,82,1,304,165,542,10018,186,164,3827,247,80,188,2797,47,51,643,1,35,779,1592,346,320,364,176,332,364,250,616,1,10,10,5100,437
915,579,1615,479,643,10,8,1328,381,634,485,364,189,448,176,643,26,2797,49,1940,86,3194,13,173,10,21594,1,10,265,10,943,634,437,298,584,284,16162,437,364,364,37,394,2797,437,301,437,9708,178,1,308,437,619,10,12536,643,56,114,437,9612,437,88,160,437,1,245,436,393,1565,364,463,18,364,138,80,437,2973,10,138,643,56,476,170,368,643,319,779,1,2226,750,181,364,990,331,396,1,193,1,727,607,19
1,4746,364,643,512,437,634,125,10,699,141,643,437,4908,422,207,479,643,439,229,10,436,24,437,4115,574,10,513,779,8832,10,1600,221,462,331,10,324,2,10,4805,437,331,666,1,5045,31,204,575,643,527,643,153,189,411,1,364,437,941,10,571,207,1682,251,338,437,130,119,221,443,253,6245,659,364,10,408,1,437,1,80,10,207,218,571,453,3276,215,207,6154,13,437,85,513,10,284,351,643,249,660,10,634
699,10078,572,643,513,694,76,439,364,10,115,201,1021,16614,1,210,1408,207,2797,8501,509,250,1,391,189,10,7,11179,430,207,136,476,10,105,61,331,4801,175,437,349,373,623,470,279,101,550,2797,9899,1,634,304,389,1011,437,437,1,843,779,2797,254,10,394,648,657,437,189,437,805,364,437,1,20491,12106,513,162,789,301,6959,884,17,1253,1077,699,581,31,625,172,364,10,437,10,73,835,10,1126,25,276,284,37,165
493,437,516,1947,437,4391,388,805,237,137,71,315,805,4029,207,437,276,665,985,10,19,10,1,1328,207,10,476,65,401,346,437,107,325,844,5975,779,948,10,437,643,NA,634,1078,207,437,465,126,503,437,437,1359,4830,1,41,10,111,181,77,437,86,4513,643,647,437,558,510,149,124,203,182,11179,284,158,10,5693,69,45,32,643,2797,1105,437,58,12338,1110,1,1852,494,1328,437,189,643,11179,572,215,306,890,1,72,705
